Sub #,Proof-read,Select your age range,Select your location
13604,"Turn Ireland into a cycling country.
A Glasgow University study of a quarter of a million commuters for five years found that commuters who cycled 30 miles a week halved their chances of getting cancer and heart disease.
Running a car averages €10k a year. Getting rid of those cars would put €10k per family into the local economy and allow lots of people to insulate homes & live comfortably, with cheaper bills!",70-79,Dublin
13605,"Why people aren't engaging in democratic processes such as voting?

[It is because they don't have education/access, or they don't feel represented in the candadites.]

Also intrested in EU elections.",,
13606,How can we prepare for the impact of volcanic ash clouds from Iceland on air traffic over Ireland?,50-59,Dublin
13607,How can we improve and foster European integration?,50-59,Dublin
13608,How does Ireland's second level education system compare to that of other countries? How does Ireland's education system accommodate different learning styles?,,
13609,"Hello 

I wish for Department of Education to develop a subject in schools based on horticulture and environmentalism. 

I feel that we need to develop and encourage students from primary sector on the following topics:
biodiversity, horticulture skills, climate change, effects of plastics and microplastics, education on birds/trees, visits to forests, vertical farming, planting and sowing trees, tools for kids.",30-39,Westmeath
13610,"Snug homes, pay-as-you-go.
We've had mass public schemes before: SSIAs, etc. Let's have a huge scheme to fund home retrofits: superb insulation, cold-proof windows, solar panels, heat pumps, underfloor heating - grants *plus* interest-free loans paid back through utility bills. This would produce electricity for the National Grid, cut bills and vastly improve people's health.",70-79,Dublin
13611,"Road frontage for school cycleways.
Virtually, every child in Ireland is taken to school in cars. It would be healthier and they would arrive alert if they rode bikes, but it's not safe. 
If we had a national scheme to buy road frontage at agricultural land cost only, and build cycleways along the edge, we could have a national school cycling network - not only from home to school but to shops, GAA, etc.",70-79,Dublin
13612,"1. A cycle greenway for the Macroom/Leevalley area. It badly needs this as all the roads are just too busy & dangerous to cycle on.

2. An amenity/picnic brench area for the 2mile bridge area outside Macroom. This is overlooking the water & is a beautiful spot with huge potential.",50-59,Cork
13613,"Since the pharmaceutical industry is a major part of the Irish economy, I think we should invest in scientific research related to the discovery, development, manufacturing and innovation relating to the pharmaceutical industry/medicines. We have seen the enormous impact of the mRNA vaccines and there is no reason why Ireland cannot be at the forefront of future innovation in this space.",20-29,Cork
13614,"Language learning.
Set up language exchanges between schools, where individual kids and groups of kids speak to kids in France, Spain, Germany, China, Japan, Poland, etc. in English for half an hour and the other language for half an hour, so both groups learn from each other. 
This is good for language learning, but also for cultural exchange and business and farm networking.",70-79,Dublin
13615,"Café Gaelach in schools.
Once a week, every class should have an hour where only Irish is spoken, while tea and coffee and hot chocolate and sandwiches and cakes are shared. Teachers can add vocabulary and constructions on the whiteboard as conversations need them, and join the fun. This turns Irish into a pleasure instead of a Peigsperience.",70-79,Dublin
13616,"Skills should be part of Transition Year (and maybe part of other years too), with cooks, carpenters, shop owners, plumbers, electricians, bricklayers, etc. spending a month teaching their skill so kids can have a basic, practical, hands-on experience of different options. It's likely to bring more girls into trade apprenticeships too if they learn by practice.",70-79,Dublin
13617,"As a runner and regular walker, I’m amazed at the number of people who do not seem to be familiar with the rules of the road. It’s very simple, walk/run on the right side of the road if there’s no footpath. This should be drilled into primary school children from an early age. Adults should be following these rules and thereby giving good example for their children. 
Dublin.",60-69,Dublin
13618,"Methotrexate and Covid vaccines.
I would like to see more research on the efficacy of the Covid vaccines on people with autoimmune deceases who are taking Methotrexate to reduce their Rheumatoid Arthritis. I would be happy to be included in any trial research in this area.",60-69,Limerick
13619,"Developing outside classrooms with wetlands and education around schools and providing green spaces with woodland and fostering greener spaces for our primary and secondary schools. 

Concept - classrooms surrounded by forests, wildflower meadows, wetlands, and walking loops between them based in each county of Ireland. Used as multi-function space and promotion of mental health.",30-39,Westmeath
13620,"I would like a better understanding of time. My ageing mother holds time differently in her mind now. Time for her seems to be more acutely connected to emotional resonance. 
Working with very young children, it is my experience that they also experience time differently. A child deeply engaged in play may experience time deeply rather than linearly. Does our concept of time have to change as we age?",40-49,Limerick
13621,"The impact, both positive and negative, of digital technologies on society. They should explore the impact on epistemology (knowledge), aesthetics (cultural production) and ethics. The impacts can be seen through the harvesting of attention as a source of data with our ability to attend. They should explore new emerging disciplines such as critical software studies, digital studies and critical media studies.",50-59,Dublin
13622,Climate change.,50-59,Clare
13623,"Mental health, especially children & teenagers. Climate change.",50-59,Clare
13624,Nutrition & better eating campaigns.,50-59,Clare
13625,Teaching mindfulness & philosophy to children & teenagers.,50-59,Clare
13626,Encouraging more students to study a trade eg carpentry instead of arts in college.,50-59,Clare
13627,Methane and cow digestion. Concussion treatment medication to improve mental health.,50-59,Clare
13628,Climate change behaviour change to encourage move from private cars.,50-59,Clare
13629,What impact different levels of physical activity have on health/life expectancy?,50-59,Clare
13630,Impact of alcohol/drugs on mental performance?,50-59,Clare
13631,Focus on issues related to climate change challenge and an urgent move to a carbon neutral economy?,50-59,Clare
13632,"The relation between technological development and climate change. The history of technological development is closely linked to questions of entropy and energy usage. There is a need to reflect philosophically on the history of technological development, an organology is needed. Then to pose the questions in relation to responsible technological innovation, the ethical frame of what it means to innovate.",50-59,Dublin
13633,Consider how a more diverse mix in any profession/research area/business can generate greater productivity and better outcomes?,50-59,Clare
13634,"1. To encourage the establishment of a Russian lingo-cultural institute which would serve as an essential centre for organising language exchange programmes, cultural events, courses etc. with Russia. 
2. To organise summer Russian language school in Ireland.
3. To research the issue why wages related to casual language teachers are so low and do not take into consideration the amount of preparation work.",,
13635,"To research the poisoning situation which has been lasting for the last number of years: why the third level tutors/lecturers are employed only for part-time jobs (a year or two, very often a semester or two, extremely often for an academic year) and then re-employed on the same conditions?
This creates unfair treatment when gaps in such employment prevent educators/tutors/lectures to have secured work.",,
13636,"The problem described above creates terrible insecurity leading to nervous breakdowns, illnesses, etc. Then the Government spends money on treating such illnesses. Maybe better idea will be to prevent and eliminate the poisonous situations in education system?
Teaching as joy, as passionate input in educational system can be a worthy subject for research if the present situation is taken into consideration.",,
13637,Research into the effects of cyberbullying.,40-49,Clare
13638,Research how normal people can take roles in our governments to help make changes for the normal person.,40-49,Clare
13639,Research into the effects and trauma of Paul Collins leaving his sports reporting within Dempsey.,40-49,Clare
13640,Can we concentrate on the natural resources we have in Ireland - wave and wind energy.,50-59,Clare
13641,Research into sports injuries.,40-49,Clare
13642,Is there any way of getting yourself to deal with the cold easier?,40-49,Clare
13643,The impact that Covid19 has had on children.,40-49,Clare
13644,Rural development to sustain vibrant communities.,50-59,Louth
13645,Embracing the ageing demographic.,50-59,Louth
13646,Managing menopause.,50-59,Louth
13647,Difference between the experiences of loneliness across different generations.,50-59,Louth
13648,Why are new nursing graduates reluctant to enter work with older people?,50-59,Louth
13649,The experience and impact of video conferencing for social interactions with older people during COVID-19.,50-59,Louth
13650,Impact of menopause on female atheletes.,50-59,Louth
13651,Sexual health and engagement of older people.,50-59,Louth
13652,"Diversity, equality and inclusion.",50-59,Louth
13653,How to ensure people from under-represented groups are reflected in research?,50-59,Louth
13654,How our perceptions of older age influence us as we age.,50-59,Louth
13657,Ireland’s water resources are good for research and with climate change it presents an opportunity to assess climate impact on different water bodies.,,Louth
13658,Water and energy sector.,,Louth
13659,AI is being used - but it is not explainable - how can we make AI more transparent?,,Louth
13660,Can AI be used to combat specific areas of climate change?,,Louth
13661,Intelligence is more than number-crunchin: is Artificial General Intelligence possible? How can we actually define/recognise/evaluate computational  intelligence or understanding?,,Louth
13662,Computational creativity - can algorithms actually be creative?,,Louth
13663,Less invasive treatments for infertility - or screening for infertility issues in younger women and men.,,Louth
13664,Detrimental bias in ML/AI - and increasing awareness among the public of the downfalls of AI.,,Louth
13665,"Hi, I used to live in Australia. We had toy libraries there, amazing. The child gets a rotation of toys, great for the environment and your house is not cluttered. Toy kitchens, puzzles etc. Everything sanitised between uses. Just no soft toys.",30-39,Cork
13666,"How to increase patient self-efficacy in multiple sclerosis through patient information and education regarding additional complimentary measures they can take in collaboration with their medication?

This would enable and empower people living with MS to learn about additional measures they can take to increase self-efficacy and regain a greater sense of control over their own health and well-being.",30-39,Dublin
13667,I think researchers in Ireland should explore how we can become more sustainable. The restrictions placed on plastic bags have had a huge beneficial impact but similar cannot be said for other implemented strategies for sustainability.,30-39,Westmeath
13668,"From an educational research perspective, to ensure we understand how to maintain a quality education system for our young people, we need to have a sustained research programme on teacher and school leaders' education and work lives - given evidence of their impact on educational outcomes - and national research activity on the future of teaching and school leadership. In a post-pandemic world, this is really key.",30-39,Dublin
13669,"I would like research conducted on whether it is feasible to upskill home care workers as 'community healthcare workers'. Could this 30,000+ workforce do 'more' for improved employment conditions? Could they deliver physical activity, palliative care, catheter care, wound dressing, BP monitoring for frail older adults? I believe we can deliver proactive models of care 'closer to home' in line with SlainteCare.",20-29,Dublin
13670,"I think researchers should explore engagement with the public around their understanding of risk and certainty/uncertainty. 

The COVID-19 pandemic has made it crystal clear how important it is that people can critically evaluate how likely something is to happen based on scientific/research evidence. 

I feel research would be better respected if the public were more educated in this general area.",30-39,Dublin
13671,"I can see a facilitation role, drawing on my career skills & contacts for this - to make Ireland's communications, marketing & advertising industry carbon neutral:
1: Empower the consumer with options.
2. Work with industry organisations & stakeholders to provide real measurability tools.
3. Work with Government organisations to support efforts.

This could have a knock on effect making the film industry in Ireland even more attractive.",40-49,Carlow
13672,"A more structured approach to the relationship/dialogue between universities and Government departments, specifically through Government tender applications. Currently, the legal contractual terms in tender applications often make it impossible for universities to work with Government departments. This could be rectified, allowing for an architecture to support increased engaged research for improved public policy.",30-39,Dublin
13673,"Cultural and structural barriers to breastfeeding in Ireland. We have very poor breastfeeding rates and while efforts are made to increase individual support to breastfeeding mothers, these supports cannot address wider barriers outside of the realm of the individual. We do not have an established culture of breastfeeding in this country. We do however, have six infant formula producers based in this country.",,
13674,"It would be better if the universities augmented more digital access to library resources, in particular historical manuscripts that have been so difficult to access during the Covid pandemic. I'd appreciate it if the Government sponsored this library accessibility for researchers in and after the pandemic times.",30-39,Dublin
13675,"The impact of pornography on young people is a massive issue, we really lack strong data on this. It feeds into multiple issues eg online harm/abuse of women, child safety online, consent, young people's self image, normalisation of sex work etc. It's a very rich area for research and I hope someone will take the plunge!",20-29,Dublin
13676,Lowering the age for smear tests in Ireland.,,
13677,"How do people interact with, benefit from, and place pressure on our natural ecosystems, both domestically and abroad? What does this mean for our natural capital stocks and the benefits and opportunities future generations receive? Can we use this knowledge in our response to the climate and biodiversity emergenceis?",20-29,Dublin
13678,"I think researchers should critically explore automation. I propose a transdisciplinary approach where automation is explored from a philosophical, political, ethical and educational approach. For example: why do we assume that Turnitin is a necessary part of our assessment practices? Why do we assume that Turnitin can mitigate plagiarism when issues around academic integrity are rising at an alarming rate?",50-59,Dublin
13679,"I think researchers should underpin their research into digital pedagogical practices with the theoretical framework called Critical Posthuman Theory (Braidotti, 2019). This philosophical theory can help us to think about future pedagogical practices in a more relational way. Technology is conceptualised as an equal entity thus acknowledging the capacity of algorithms to shape knowledge processes.",50-59,Dublin
13680,More on the use of genome mutations in cattle instead of dehorning cattle as it may hurt the animal.,20-29,Westmeath
13681,"I would like research in the area of education whereby testing is carried out on all populations and is varied in relation to ability and culture, ethnicity etc. I would like this to influence curricula so that all abilities are included.
This could also be transferred to medical health so that treatments are based on all genders, age, ethnicity etc.",,
13682,"Every household, hotel, hospitality venue in Ireland where there is no half flush options on the toilet should receive a recycled/sustainable vessel to insert into their cistern to reduce the amount of water used in a flush by 1 litre per use.  This could reduce the water wastage substantially with minimal expense to the State. Baths in hotels should have a stop-cock to prevent unnecessary usage of heated water.",40-49,Louth
13683,"I think researchers should explore what Dublin city would look like if private car traffic were to be substantially reduced, i.e. a more pedestrian - and cyclist -focused city.",20-29,Dublin
13684,"How and to what degree does gender bias exist in both the way that medicine is taught in Ireland & clinical/biomedical research is conducted in academic and institutional (hospital) settings? As a first year medical student, I have already encountered so much gender bias in this space - how can this be quantified and measured in order to enact policies and update curricula to avoid such clear gender bias?",20-29,Dublin
13685,"Ireland has very low rates of breastfeeding despite the clear benefits to infants, particularly in the first 6 months of life. What barriers exist for mothers who are capable of breastfeeding but choose not to? How do women perceive breastfeeding before and after their first pregnancy? What supports have been effective thus far and to what extent are they being utilised? Is there a difference in rural/ urban rates?",20-29,Dublin
13686,"Ireland has not fully dealt with the legacy of its role in the Magdalene laundries. The only memorial recognising the women who were confined to these institutions is on a park bench in Stephen's Green, where the plaque is obscured by those who sit on the bench. How do survivors perceive the Government response to the laundries? What are their hopes for the future action? How do they wish to be remembered/compensated?",20-29,Dublin
13687,"To investigate the advantages and disadvantages of holding more meetings online. Some advantages could be the climate can gain with less people flying, people saving time in travelling, giving them more time to spend doing the actual research, making long haul meetings more accessible for those less able physically to travel hence lead to more inclusivity. Disadvantages: loss of face-to-face ""coffee breaks"" etc.",70-79,Dublin
13688,"How we, as a society, can stop abusing, torturing, and using animals.",40-49,Wicklow
13689,How tenants' rights can be strengthened in this country (look at Germany).,40-49,Wicklow
13690,What is going wrong with Ireland's healthcare system?,40-49,Wicklow
13691,Xenophonia in Ireland and the myth of the welcoming Irish. I accepted a job position in Dublin thinking that Irish people would be overly nice and I've faced more exclusion in Ireland than anywhere else.,40-49,Wicklow
13692,"I think researching fungi in an ecological context could provide the Irish agricultural sector with more sustainable strategies of fertilising land, so traditional chemical fertilisers, which in many cases can be environmentally damaging, should be replaced. The use of polycultures (many species of fungi being used strategically in an area) may also provide new food products and have a positive impact on ecosystems.",16-19,Dublin
13693,"The study of a variety of drugs that are considered recreational, and therefore illegal, may provide insight into helping patients struggling from addiction and possibly other mental illness in general. Studying these substances with the use of modern brain imaging tech may help us further understand the brain, and could possibly combine the subjective and objective study of the brain.",16-19,Dublin
13694,"I would love to see Ireland try to emulate Singapore's National Step Challenge and to explore if it would have a beneficial effect for Ireland's physical activity participation at a population level. 

healthhub.sg/programmes/37/nsc

A heavily promoted public relations campaign from Healthy Ireland that incentivises physical activity participation with prizes, using smartphone apps and trackers.",30-39,Dublin
13695,"- More research should be done on Mother and Baby Homes and the Magdalene Laundries.

- The argument that Eamon De Valera could be considered a 'dictator.'

- The Tuatha De Danann, and other figures in the Irish folklore cycles.",,
13696,"Managing Biosecurity risks to Ireland and the EU.  The current pandemic has exposed many weaknesses in different areas of healthcare, logistics, finance, psychological, etc.

I have recently completed a MSc degree at TCD with the CIHS department (School of Psychology) on a limited area within a larger Caribbean state. I propose to pursue doctoral work in the area described above to reduce risk to Ireland and EU.",50-59,
13697,How lack of skin representation in medical teaching material impacts care of patients?,20-29,Dublin
13698,"What is the universe made up of? Are all the different things we see around us, ranging from the tiniest to the gigantic ones, composed of same elementary objects? How does the same elementary objects give rise to vastly different things we see around us?",20-29,Dublin
13699,Does there exist a mathematical description of everything? How does some purely mathematical result happen to describe physical phenomena?,20-29,Dublin
13700,I think researchers should explore how the genome works - the mechanisms by which genes are turned on and off. A better understanding of how gene expression is controlled will inform our ability to treat a multitude of diseases including cancer.,20-29,Meath
13701,I think researchers should explore a way to teach the Irish language in a manner that is interesting and fun for students to learn in schools. I think it would lead to a greater fluency among young people and prevent this important part of Irish identity from slowly getting lost in the future.,20-29,Waterford
13702,"I think the topic of public trust in institutions and policies is of great interest and urgency, and should be explored further.",60-69,Dublin
13703,"Factors that contribute to inequality in literacy outcomes for children with intellectual and developmental disabilities completing primary school. 
Investigate why evidence-based practices in teaching literacy are not utilised in primary schools serving this cohort.
Examine empirically supported protocols that could be implemented to improve these outcomes. 
Determine societal and financial impact.",40-49,Dublin
13704,Investigate the effectiveness of screening for Autism Spectrum Disorder in preschool children and the implementation of training protocols for preschool staff in identifying red flags and providing corresponding evidence-based solutions that map onto naturalistic developmental behavioural interventions.,40-49,Dublin
13705,I think Ireland is an optimum place for adopting hydrogen as a fuel. Why is there no focus in Ireland right now in establishing a hydrogen refueling station network like Germany? Since Ireland is a much smaller country it would be quicker and easier to link North to South and East to West with some stations. Government could put in incentives for drivers and station owners to get interest in this and kick start it.,20-29,Wexford
13706,"I think researchers should explore health inequities among disadvantaged minorities. Such minorities are disproportionately effected by adverse health conditions. This category of research tends to get less funding. Additionally, researchers from such minorities, who are more likely to pursue research focused on this topic, tend to have greater difficulty in securing funding for their research.",30-39,Dublin
13707,"I would like to see research in forms of exclusion which are built into the education system, including class, race, disability etc. and how efforts to address them are almost solely dealt with through access mechanisms rather than through any change in the system (policy, curriculum, homogeneity of staff, built environment, racism).",50-59,Dublin
13708,"Accountable governance using advanced knowledge technologies to directly support human-in-control decision-making through mustering evidence on effectiveness & impact of policies and programmes - counteracting lack of transparency of AI & weak governance of social media. Applicable to safety, risk, environmental impact, etc. across many industries and services - for governance within organisations and across society.",70-79,Dublin
13709,We need a dietitian specifically for rheumatoid arthritis.,40-49,Limerick
13710,"I think researchers should explore setting about having a publicly funded early years settings in Ireland, along with publicly funded school age childcare. Having wages for people working in these sectors looked after by Government should be a priority and needs to be investigated. High quality services are a must and needs highly qualified people in it and these people need monetary recognition.",50-59,Galway
13711,"I think researchers should explore how the human being will evolve, the different possibilities about it.

But also have more references, sources in the library about Meso-America or a particular field or masters in Trinity.",20-29,Dublin
13712,"Cancer research, especially the incurable types such as glioblastoma.",20-29,Dublin
13713,"Research into reducing emissions, renewable energy sources, news ways of recycling materials.",20-29,Dublin
13714,CRISPR-Cas9 and genetic engineering.,20-29,Dublin
13715,Ecological animal well-being research.,20-29,Dublin
13716,Nuclear fusion.,20-29,Dublin
13717,"I think researchers should explore the system concept of 'one health', addressing the health and well-being of the nation in a transdisciplinary and sustainable way, from climate to water to plants, animals and human health.",50-59,Dublin
13718,"1. Basic research needs to be prioritised. This is where breakthroughs that change society happen. We need to prepare for huge future challenges we face. 

2. Climate change strategies need investment - both prevention and adaption. 

3. Dementia is going to be one of the biggest challenges in the future - we need to invest in basic research in this area.",20-29,Dublin
13719,"PhD students should be given a living wage, and stipends should be regularly assessed and adjusted according with inflation. This will encourage more people to partake in research and make research more accessible to all.",20-29,Dublin
13720,"Expanding human lifespans, obvious, but essential nonetheless. And not just living past 80, but to be stronger for longer in life too.",,
13721,"Culture and the brain: with evolutionary, biological, physiological, social and philosophical perspectives. This would address fundamental barriers, mechanisms and solutions for social integration (as against fragmentation).",60-69,Dublin
13722,Biological diversity - with goal to understand (and potentially deploy) mechanisms that underlie unique adaptations and abilities of creatures across phyla.,60-69,Dublin
13723,"""Mechanism Design"" and its deployment across public and private institutions and departments. Overall - the use of ""objectives first"" strategy for designing supportive mechanisms and structures.",60-69,Dublin
13724,"Futurism. Predicting positive and negative futures based on current trajectories. Predicting future needs and opportunities to guide contemporary activities. Counterintuitively, history could play a major role here.",60-69,Dublin
13725,"As a sportswoman who sits on the NGB of my sport, I have been impressed by the impact of Sport Ireland's Women in Sport programme. 
Research exploring the ways in which sport can contribute to societal cohesion and the integration of disadvantaged minorities, as well as the physical and mental well-being of all citizens, in line with Government policies, involving community groups would be most welcome.",60-69,Cork
13726,"I think researchers should focus on research on the management of health systems so that they can be inclusive for all people and all illnesses, with a focus on living rather than prevention of death.",,
13727,Sustainable urban design.,,
13728,Automated delivery in supply chain.,,
13729,Sustainable diets.,,
13730,Connecting people to resources.,,
13731,Economics inequality.,,
13732,"Basic needs being met: housing, food, healthcare, mental health care, etc.",,
13733,Sustainable communities in general.,,
13734,Automated driving vehicles for rural Ireland.,,
13735,Sustainable and affordable next generation RNA-based therapeutics and access to these future medicines.,,
13736,Digital literacy and accessibility.,,
13738,Decarbonisation pathways.,,
13739,Expanding the access to biotherapeutics through developing countries.,,
13740,"Research on the intersection of public agencies, private companies, academia, and nonprofits to solve our most challenging problems.",,
13741,Funding.,,
13742,I think researchers in Ireland should explore the impact that lack of accessible public transport has on opportunities for independent living  (with a focus on rural areas).,,Mayo
13743,Cross-border coordination on health crises.,,
13744,Blockchain business.,,
13745,Economic policy.,,
13746,Funding innovation.,,
13747,Human centric Artificial Intelligence.,,
13748,"The possibility of utilising lake, river and estuarine public transport services in our coastal and inland population centres wherever possible.",70-79,Dublin
13749,Economic inequality.,,
13750,Human centric AI.,,
13751,Future medicines.,,
13752,Access to basic needs.,,
13753,Net zero society.,,
13754,Coordination of global RD.,,
13755,Funding.,,
13756,Economic inequality.,,
13757,Human centric AI.,,
13758,Future foods.,,
13759,Engaging youth in STEM.,,
13760,"Intersection of non-profits, Government, research > how they can work together.",,
13761,Talking at cross purposes about the same thing.,,
13762,"Investment firm called 1.5 degrees - investing in solutions - give everyone ""skin in the game"".",,
13763,"It is critical that industry-education partnerships be developed to promote STEM-based programs (eg ""clubs"") in schools for grades 9-12.",,
13764,Strategic partnerships with the technology companies that already exist in Ireland.,,
13765,"Ireland has advantage in biotech space, huge talent pool. Need to expand reach to developing countries to unmet populations. Irish Government is in a unique position to be a part of this.",,
13766,Suggestion to lobby congress to open up E3 visas beyond Australia. US is losing huge amount of trained talent due to the limits and bureaucracy of visas. Also relevant for working in Europe.,,
13767,"Block-chain space; cyptocurrency. Access to renewable energy, wind energy in Ireland - what is Ireland doing in this space? If this is this the future of finance, we need to get in early.",,
13768,Lots of work in commercialised products with huge profit margins. There are 000s of disease with unmet. Huge opportunity for this at all levels (research students).,,
13769,Ireland as coordinator of global R&D.,,
13770,Ireland becoming a global center for connecting researchers and raising awareness of different research models.,,
13771,"Centralized and sharing of data to minimize duplication and accelerate solutions, connections for funding, talent pipeline.",,
13772,Providing access to administrative data - held by the Government/CSO - will foster research on inequality on Ireland and within Irish universities.,,
13773,"International collaboration on accessing medicines, secure housing, healthcare.",,
13774,"Large scale development is destroying the natural beauty of rural Ireland. 
Our bogs are being eroded and they will be destroyed forever.",,
13775,People being aware of the needs for research of biodiversity. How many people in the community are aware of biodiversity of peatlands? Lack of knowledge. To educate people to get them interested with it to bring about change and build an awareness.,,
13776,"Just Transition and how best to do that working with communities, workers and employers who are most affected by climate action policies.",,
13777,There are opportunities to rewet bogs and help the environment now before development goes ahead.,,
13778,Understanding the opportunity for using restoration of peatlands as a carbon offsetting opportunity. Understanding the opportunity of creating a network of wildlife corridors by linking bogs into a 'national park'.,,
13779,"Support research in early education for socio-emotional well-being in toddlerhood. The neurobiology of attachment in toddlerhood is important to mental health in adulthood because adults are a product of their childhood. We need to train early educators to support and protect children's emotional well-being in early education. Don't employ more top down governance, find researchers who can help close the knowledge gap.",50-59,Louth
13780,"Ongoing depletion of raised bogs by turf cutting is still prevalent, not covered by SACs. Need for awareness and education. Bottom approach to conservation, compensate people with turbary rights to prevent turf cutting.",,
13781,"Impact of carbon tax on other fuels, but not if you cut own turf - more likely then to cut turf. Impact of community engagement and management of peatlands on conservation of bogs. Raised bogs should be SACs and treated as such.",,
13782,Plenty of research available about depletion of bogs and impact on biodiversity. Need a national campaign to have all raised bogs as SACs. Reasonable compensation scheme for people with turbary rights.,,
13783,Research on community stewardship of peatlands - communities who lead the management of wetlands and peatlands.,,
13784,Help to understand the value of the bog in terms of natural capital.,,
13785,Public transport in Ireland.,16-19,Monaghan
13786,Challenge to move into third level education.,16-19,Monaghan
13787,Obesity among young people.,16-19,Monaghan
13788,The improvement of public transport connections between the counties.,16-19,Monaghan
13789,Use medical data to spend more investment on diseases that affected many people.,16-19,Monaghan
13790,"If we got some funding to assist with surveys on cutaway bogs, it would help a lot.",,
13791,What Ireland's midlands will look like when all peatland is rehabilitated?,,
13792,Climate change adaptation.,30-39,Louth
13793,Making a more sustainable Ireland.,30-39,Louth
13794,Climate change adaptation and sustainability.,30-39,Louth
13795,Women's health.,20-29,Louth
13796,The effects of the menstrual cycle on female athletes' performance.,20-29,Louth
13797,Sexual health education for individuals with intellectual disabilities.,20-29,Louth
13798,The accessibility of meals on wheels services.,20-29,Louth
13799,Navigating the home care system in Ireland.,20-29,Louth
13800,Home birth services in Ireland.,,Louth
13801,Meals on wheels services.,,Louth
13802,The accessibility/availability of meals on wheels services.,,Louth
13803,Benefits of sleep and mental health.,,Louth
13804,Future of intellectual disability nursing sector.,,Louth
13805,Supports for healthcare professionals in acute hospital settings supporting individuals with intellectual disabilities or Autism.,20-29,Louth
13806,Cain therapy services.,20-29,Louth
13807,Supporting individuals with intellectual disabilities to access mainstream services.,20-29,Louth
13808,The accessibility of community support services for older people.,20-29,Louth
13809,Supports available for breastfeeding women in the workplace.,20-29,Louth
13825,"1. Prevalence of FASD in children in Ireland (this condition is underdiagnosed).
2. FASD in children who are adopted or fostered.
3. What is the impact of covid on children and families. what is the learning.
4. Has there been an increase in anxiety and eating disorders in teenagers.
5. What are the pressures on parents and the relationship between parents and work and the impact on infants.
6. Court imposed access.",,Dublin
13826,"Disease diagnosis using biosensors (digestible sensors), which can really help doctors and can be done without travelling to doctors.",16-19,Louth
13827,"The menopause.
Loneliness.
Housing for older people.",50-59,Cavan
13828,Surviving the menopause and coming out the other side still sane!,50-59,Cavan
13829,Living alone - housing solutions for those growing older who are living on their own.,50-59,Cavan
13830,Getting more young women into apprenticeships and keeping them there.,50-59,Cavan
13831,Postgraduate students' mental health.,50-59,Cavan
13832,Older women's health and well-being.,50-59,Louth
13833,How to be resilient when forced to work from home.,50-59,Louth
13834,Supports for postgraduate students.,50-59,Louth
13835,Pastoral care and support for postgraduate students.,50-59,Louth
13836,Stress on working mothers during pandemic.,30-39,Louth
13837,The refusal to move to assisted living/long-term care among senior citizens. ,40-49,Dublin
13838,VR as a reminiscence therapy tool for dementia patients. (idea already submitted),40-49,Dublin
13839,"A computer operating system dedicated to health, uniting available mobile health solutions and a modular laptop computer with sensors and AI, analyzing vitals. (idea already submitted)",40-49,Dublin
13840,The link between adverse childhood experiences (ACE) and dementia in Irish adults. (idea already submitted),40-49,Dublin
13841,Work-life balance.,40-49,Meath
13842,Remote working.,40-49,Meath
13843,IT/digital & language training in primary/secondary schools.,40-49,Meath
13844,Gaelic (football) for dads & mams - quantify benefits to physical & mental well-being of older participation.,40-49,Meath
13845,"Gaelic (football) for dads & mams - physical, mental & societal benefits (of older participating).",40-49,Meath
13846,"I think researchers should explore how compassion education for adults could be of value to our nations health and happiness. 

I am a long term student and researcher of compassion education focusing on how the knowledge and practices of compassion combined with creativity can benefit individuals and communities. 
My research project on compassion education was accepted into Social Entrepreneurs Ireland Ideas Academy 2022.",50-59,Cavan
13847,Traffic stats in relation to carbon footprint/commuting.,40-49,Louth
13848,Research into IT interoperability in the healthcare system.,40-49,Louth
13849,I think we could have some opportunities to buy food that will be thrown away from local restaurants or small local businesses to our homes. Perhaps an app to say where and when to collect or to donate food stuff to charities that would otherwise go to waste.,40-49,Dublin
13850,"I think researchers should explore:
Animal abuse.
Global warming.",16-19,Limerick
13851,"Environmental humanities should be prioritised, with additional funding for research and supports for public programming provided. 
This is a multidisciplinary area, and I would like to see supports given specifically to studies in literature and the arts. 
These disciplines can map interactions between humans, non-humans and places, and can foster changes in attitude and new understandings of this vital dynamic.",40-49,Dublin
13852,I think the researcher should explore more on mental health service for deaf people. Deaf people likely 4 times as hearing peers on mental health. Lack of access for Deaf people here for mental health service.,30-39,Dublin
13853,I think the researcher should explore and research the lives of Deaf people - not just health issues and deafness (on ears). To explore everyday lives of them and see what barriers they face every day. Do they have ISL access everyday? What prejudices from the society on Deaf people?,30-39,Dublin
13854,I think the researcher should explore on Deaf people's employment - to explore the barriers in their everyday life in employment.  To explore 'access to work' scheme which is in the UK. The Irish Deaf community lobby for this scheme to happen in Ireland.,30-39,Dublin
13855,"Researchers should find ways to make a submarine to go deeper, and medicines for cancer or any unknown sickness, and places for homeless animals.",16-19,Limerick
13856,"I think researchers should explore more drug testing that is independent of pharmaceutical companies. This would not only mean that drugs could be properly assessed with no issues of conflict of interest, it would also perhaps allow Ireland to create Government sponsored pharmacological production which could raise a large amount of revenue for the state.",20-29,Dublin
13857,I want to see more medical research done in this country. As a student doctor I always hear of these amazing trials that are going on in the continent of America and people being forced to travel to participate. Our curriculum should focus more on research so we can make this country a beacon of advancement in healthcare that people across Europe could avail from. This could also create a source of income for the HSE.,20-29,Dublin
